Plan,Building,Tier,Category,Production Time,Resource Type,Resource,Resource Quantity,Resource Dependency
Mountains,Milk Farm**,8,Milk Can,45,Output Resource,Milk Can**,2,N/A
Mountains,Barley Farm**,7,Bread,N/A,Build Resource,Stone**,3,Quarry**
Mountains,Barley Farm**,7,Bread,N/A,Build Resource,Oak Plank**,2,Sawmill**
Islands,Corn Farm*,7,Tortilla,N/A,Input Resource,None,1,None
Mountains,Barley Farm**,7,Bread,N/A,Maintenance Resource,Fish**,1,Fishery**
Mountains,Barley Farm**,7,Bread,N/A,Maintenance Resource,Water**,1,Well**
Master,Moonshine Factory,2,Moonshine,45,Output Resource,Moonshine,3,N/A
Mountains,Water Mill**,7,Bread,N/A,Build Resource,Stone**,3,Quarry**
Mountains,Water Mill**,7,Bread,N/A,Build Resource,Oak Plank**,2,Sawmill**
Islands,Citrus Farm*,7,Lemonade,N/A,Input Resource,None,1,None
Mountains,Water Mill**,7,Bread,N/A,Maintenance Resource,Fish**,1,Fishery**
Mountains,Water Mill**,7,Bread,N/A,Maintenance Resource,Water**,1,Well**
Mountains,Fastener Factory**,7,"Nails, Hoop",45,Output Resource,Nails**,3,N/A
Mountains,Bakery**,7,Bread,N/A,Build Resource,Stone**,6,Quarry**
Mountains,Bakery**,7,Bread,N/A,Build Resource,Oak Plank**,4,Sawmill**
Islands,Sheep Farm*,7,Clothes,N/A,Input Resource,None,1,None
Islands,Limestone Quarry*,7,Concrete,N/A,Input Resource,None,1,None
Mountains,Bakery**,7,Bread,N/A,Maintenance Resource,Fish**,2,Fishery**
Mountains,Bakery**,7,Bread,N/A,Maintenance Resource,Water**,2,Well**
Master,Square,8,Square,0,Output Resource,None,0,N/A
Mountains,Raspberry Plantation**,7,Fruit Punch,N/A,Build Resource,Stone**,3,Quarry**
Mountains,Raspberry Plantation**,7,Fruit Punch,N/A,Build Resource,Oak Plank**,2,Sawmill**
Islands,Steam Limestone Quarry*,7,Concrete,N/A,Input Resource,None,1,None
Mountains,Raspberry Plantation**,7,Fruit Punch,N/A,Maintenance Resource,Fish**,1,Fishery**
Mountains,Raspberry Plantation**,7,Fruit Punch,N/A,Maintenance Resource,Water**,1,Well**
Master,Promenade,8,Promenade,0,Output Resource,None,0,N/A
Mountains,Cranberry Plantation**,7,Fruit Punch,N/A,Build Resource,Stone**,3,Quarry**
Mountains,Cranberry Plantation**,7,Fruit Punch,N/A,Build Resource,Oak Plank**,2,Sawmill**
Islands,Green Pepper Farm*,8,Humatis,N/A,Input Resource,None,1,None
Mountains,Cranberry Plantation**,7,Fruit Punch,N/A,Maintenance Resource,Fish**,1,Fishery**
Mountains,Cranberry Plantation**,7,Fruit Punch,N/A,Maintenance Resource,Water**,1,Well**
Mountains,Oak Lumber Camp**,6,Oak Plank,120,Output Resource,Oak**,2,N/A
Mountains,Cafeteria**,7,Fruit Punch,N/A,Build Resource,Stone**,6,Quarry**
Mountains,Cafeteria**,7,Fruit Punch,N/A,Build Resource,Oak Plank**,4,Sawmill**
Islands,Coffee Plantation*,8,Coffee,N/A,Input Resource,None,1,None
Islands,Oil Well*,8,Oil,N/A,Input Resource,None,1,None
Mountains,Cafeteria**,7,Fruit Punch,N/A,Maintenance Resource,Fish**,2,Fishery**
Mountains,Cafeteria**,7,Fruit Punch,N/A,Maintenance Resource,Water**,2,Well**
Mountains,Barrel Factory**,9,Schnapps,30,Output Resource,Oak Barrel**,2,N/A
Mountains,Horse Farm**,7,Horse,N/A,Build Resource,Stone**,3,Quarry**
Mountains,Horse Farm**,7,Horse,N/A,Build Resource,Oak Plank**,2,Sawmill**
Master,Square,8,Square,N/A,Input Resource,None,0,None
Master,Promenade,8,Promenade,N/A,Input Resource,None,0,None
Mountains,Horse Farm**,7,Horse,N/A,Maintenance Resource,Fish**,1,Fishery**
Mountains,Horse Farm**,7,Horse,N/A,Maintenance Resource,Water**,1,Well**
Mountains,Sawmill**,6,Plank,30,Output Resource,Oak Plank**,4,N/A
Mountains,Stable**,7,Horse,N/A,Build Resource,Stone**,6,Quarry**
Mountains,Stable**,7,Horse,N/A,Build Resource,Oak Plank**,4,Sawmill**
Mountains,Oak Lumber Camp**,6,Oak Plank,N/A,Input Resource,None,1,None
Mountains,Stable**,7,Horse,N/A,Maintenance Resource,Fish**,2,Fishery**
Mountains,Stable**,7,Horse,N/A,Maintenance Resource,Water**,2,Well**
Islands,Oil Well*,8,Oil,31,Output Resource,Oil*,1,N/A
Mountains,Iron Mine**,7,Steel Beams,N/A,Build Resource,Stone**,3,Quarry**
Mountains,Iron Mine**,7,Steel Beams,N/A,Build Resource,Oak Plank**,2,Sawmill**
Mountains,Barley Farm**,7,Bread,N/A,Input Resource,None,1,None
Mountains,Iron Mine**,7,Steel Beams,N/A,Maintenance Resource,Bread**,1,Bakery**
Mountains,Iron Mine**,7,Steel Beams,N/A,Maintenance Resource,Fruit Punch**,1,Cafeteria**
Mountains,Iron Mine**,7,Steel Beams,N/A,Maintenance Resource,Horse**,1,Stable**
Master,Port,0,Port,0,Output Resource,Oil,1,N/A
Mountains,Coal Mine**,7,Steel Beams,N/A,Build Resource,Stone**,3,Quarry**
Mountains,Coal Mine**,7,Steel Beams,N/A,Build Resource,Oak Plank**,2,Sawmill**
Mountains,Raspberry Plantation**,7,Fruit Punch,N/A,Input Resource,None,1,None
Mountains,Coal Mine**,7,Steel Beams,N/A,Maintenance Resource,Bread**,1,Bakery**
Mountains,Coal Mine**,7,Steel Beams,N/A,Maintenance Resource,Fruit Punch**,1,Cafeteria**
Mountains,Coal Mine**,7,Steel Beams,N/A,Maintenance Resource,Horse**,1,Stable**
Islands,Oil Island,0,Port,0,Output Resource,Oil*,1,Oil Well*
Mountains,Furnace**,7,Steel Beams,N/A,Build Resource,Stone**,6,Quarry**
Mountains,Furnace**,7,Steel Beams,N/A,Build Resource,Oak Plank**,4,Sawmill**
Mountains,Cranberry Plantation**,7,Fruit Punch,N/A,Input Resource,None,1,None
Mountains,Iron Mine**,7,Steel Beams,N/A,Input Resource,None,1,None
Mountains,Furnace**,7,Steel Beams,N/A,Maintenance Resource,Bread**,1,Bakery**
Mountains,Furnace**,7,Steel Beams,N/A,Maintenance Resource,Fruit Punch**,1,Cafeteria**
Mountains,Furnace**,7,Steel Beams,N/A,Maintenance Resource,Horse**,1,Stable**
Master,Fur Factory,2,Overalls,45,Output Resource,Overalls,3,N/A
Mountains,Fastener Factory**,7,"Nails, Hoop",N/A,Build Resource,Stone**,12,Quarry**
Mountains,Fastener Factory**,7,"Nails, Hoop",N/A,Build Resource,Oak Plank**,8,Sawmill**
Mountains,Coal Mine**,7,Steel Beams,N/A,Input Resource,None,1,None
Mountains,Fastener Factory**,7,"Nails, Hoop",N/A,Maintenance Resource,Bread**,2,Bakery**
Mountains,Fastener Factory**,7,"Nails, Hoop",N/A,Maintenance Resource,Fruit Punch**,2,Cafeteria**
Mountains,Fastener Factory**,7,"Nails, Hoop",N/A,Maintenance Resource,Horse**,2,Stable**
Islands,Fur Factory*,8,Overalls,45,Output Resource,Overalls*,3,N/A
Master,Pig Farm,2,Sausages,30,Output Resource,Pig,1,N/A
Mountains,Goat Farm**,8,Steak,N/A,Build Resource,Stone**,5,Quarry**
Mountains,Goat Farm**,8,Steak,N/A,Build Resource,Oak Plank**,4,Sawmill**
Mountains,Goat Farm**,8,Steak,N/A,Input Resource,None,1,None
Mountains,Goat Farm**,8,Steak,N/A,Maintenance Resource,Bread**,1,Bakery**
Mountains,Goat Farm**,8,Steak,N/A,Maintenance Resource,Fruit Punch**,1,Cafeteria**
Mountains,Goat Farm**,8,Steak,N/A,Maintenance Resource,Horse**,1,Stable**
Mountains,Pig Farm**,9,Sausages,30,Output Resource,Pig**,1,N/A
Master,Sawmill,0,Plank,30,Output Resource,Plank,2,N/A
Mountains,Steakhouse**,8,Steak & Leather,N/A,Build Resource,Stone**,7,Quarry**
Mountains,Steakhouse**,8,Steak & Leather,N/A,Build Resource,Oak Plank**,6,Sawmill**
Mountains,Gold Mine**,8,Coin,N/A,Input Resource,None,1,None
Mountains,Steakhouse**,8,Steak & Leather,N/A,Maintenance Resource,Bread**,2,Bakery**
Mountains,Steakhouse**,8,Steak & Leather,N/A,Maintenance Resource,Fruit Punch**,2,Cafeteria**
Mountains,Steakhouse**,8,Steak & Leather,N/A,Maintenance Resource,Horse**,2,Stable**
Islands,Poncho Darner*,6,Poncho,45,Output Resource,Poncho*,2,N/A
Mountains,Can Factory**,8,Milk Can,N/A,Build Resource,Stone**,7,Quarry**
Mountains,Can Factory**,8,Milk Can,N/A,Build Resource,Oak Plank**,6,Sawmill**
Mountains,Copper Mine**,8,Glasses,N/A,Input Resource,None,1,None
Mountains,Sulfur Mine**,9,Sulfur,N/A,Input Resource,None,1,None
Mountains,Can Factory**,8,Milk Can,N/A,Maintenance Resource,Bread**,2,Bakery**
Mountains,Can Factory**,8,Milk Can,N/A,Maintenance Resource,Fruit Punch**,2,Cafeteria**
Mountains,Can Factory**,8,Milk Can,N/A,Maintenance Resource,Horse**,2,Stable**
Master,Potato Farm,2,Moonshine,31,Output Resource,Potato,2,N/A
Mountains,Milk Farm**,8,Milk Can,N/A,Build Resource,Stone**,14,Quarry**
Mountains,Milk Farm**,8,Milk Can,N/A,Build Resource,Oak Plank**,12,Sawmill**
Mountains,Milk Farm**,8,Milk Can,N/A,Build Resource,Nails**,10,Fastener Factory**
Mountains,Ammo Factory**,9,Revolver,N/A,Input Resource,None,1,None
Mountains,Bean Farm**,10,Bean Pie,N/A,Input Resource,None,1,None
Mountains,Milk Farm**,8,Milk Can,N/A,Maintenance Resource,Bread**,2,Bakery**
Mountains,Milk Farm**,8,Milk Can,N/A,Maintenance Resource,Fruit Punch**,2,Cafeteria**
Mountains,Milk Farm**,8,Milk Can,N/A,Maintenance Resource,Horse**,2,Stable**
Mountains,Rail Factory**,10,Train,30,Output Resource,Rails**,1,N/A
Mountains,Sluicing Camp**,8,Coin,N/A,Build Resource,Stone**,5,Quarry**
Mountains,Sluicing Camp**,8,Coin,N/A,Build Resource,Oak Plank**,4,Sawmill**
Mountains,Carrot Farm**,11,Soup,N/A,Input Resource,None,1,None
Mountains,Sluicing Camp**,8,Coin,N/A,Maintenance Resource,Bread**,1,Bakery**
Mountains,Sluicing Camp**,8,Coin,N/A,Maintenance Resource,Fruit Punch**,1,Cafeteria**
Mountains,Sluicing Camp**,8,Coin,N/A,Maintenance Resource,Horse**,1,Stable**
Mountains,Raspberry Plantation**,7,Fruit Punch,31,Output Resource,Raspberry**,2,N/A
Mountains,Gold Mine**,8,Coin,N/A,Build Resource,Stone**,9,Quarry**
Mountains,Gold Mine**,8,Coin,N/A,Build Resource,Oak Plank**,8,Sawmill**
Mountains,Gold Mine**,8,Coin,N/A,Build Resource,Nails**,6,Fastener Factory**
Mountains,Tobacco Plantation**,11,Cigars,N/A,Input Resource,None,1,None
Mountains,Gold Mine**,8,Coin,N/A,Maintenance Resource,Sausages**,1,Butchery**
Mountains,Gold Mine**,8,Coin,N/A,Maintenance Resource,Schnapps**,1,Schnapps Distillery**
Mountains,Gold Mine**,8,Coin,N/A,Maintenance Resource,Revolver**,1,Revolver Factory**
Master,Red Pepper Farm,4,Canned Food,31,Output Resource,Red Pepper,2,N/A
Mountains,Furnace***,8,Steel Beams,N/A,Build Resource,Stone**,7,Quarry**
Mountains,Furnace***,8,Steel Beams,N/A,Build Resource,Oak Plank**,6,Sawmill**
Mountains,Sawmill**,6,Plank,N/A,Input Resource,Oak**,1,Oak Lumber Camp**
Mountains,Barrel Factory**,9,Schnapps,N/A,Input Resource,Oak**,1,Oak Lumber Camp**
Mountains,Furnace***,8,Steel Beams,N/A,Maintenance Resource,Bread**,1,Bakery**
Mountains,Furnace***,8,Steel Beams,N/A,Maintenance Resource,Fruit Punch**,1,Cafeteria**
Mountains,Furnace***,8,Steel Beams,N/A,Maintenance Resource,Horse**,1,Stable**
Mountains,Revolver Factory**,9,Revolver,45,Output Resource,Revolver**,3,N/A
Mountains,Mint**,8,Coin,N/A,Build Resource,Stone**,14,Quarry**
Mountains,Mint**,8,Coin,N/A,Build Resource,Oak Plank**,12,Sawmill**
Mountains,Mint**,8,Coin,N/A,Build Resource,Nails**,10,Fastener Factory**
Mountains,Sleeper Factory**,10,Train,N/A,Input Resource,Oak**,1,Oak Lumber Camp**
Mountains,Mint**,8,Coin,N/A,Maintenance Resource,Bread**,2,Bakery**
Mountains,Mint**,8,Coin,N/A,Maintenance Resource,Fruit Punch**,2,Cafeteria**
Mountains,Mint**,8,Coin,N/A,Maintenance Resource,Horse**,2,Stable**
Master,Rope Workshop,4,Rope,30,Output Resource,Rope,1,N/A
Mountains,Copper Mine**,8,Glasses,N/A,Build Resource,Stone**,5,Quarry**
Mountains,Copper Mine**,8,Glasses,N/A,Build Resource,Oak Plank**,4,Sawmill**
Mountains,Schnapps Distillery**,9,Schnapps,N/A,Input Resource,Oak Barrel**,1,Barrel Factory**
Mountains,Copper Mine**,8,Glasses,N/A,Maintenance Resource,Steak**,1,Steakhouse**
Mountains,Copper Mine**,8,Glasses,N/A,Maintenance Resource,Milk Can**,1,Milk Farm**
Mountains,Copper Mine**,8,Glasses,N/A,Maintenance Resource,Coin**,1,Mint**
Islands,Rope Workshop*,6,Rope,30,Output Resource,Rope*,1,N/A
Mountains,Brass Smeltery**,8,Glasses,N/A,Build Resource,Stone**,7,Quarry**
Mountains,Brass Smeltery**,8,Glasses,N/A,Build Resource,Oak Plank**,6,Sawmill**
Mountains,Whiskey Distillery**,10,Whiskey,N/A,Input Resource,Oak Barrel**,1,Barrel Factory**
Mountains,Revolver Factory**,9,Revolver,N/A,Input Resource,Oak Plank**,1,Sawmill**
Mountains,Brass Smeltery**,8,Glasses,N/A,Maintenance Resource,Steak**,1,Steakhouse**
Mountains,Brass Smeltery**,8,Glasses,N/A,Maintenance Resource,Milk Can**,1,Milk Farm**
Mountains,Brass Smeltery**,8,Glasses,N/A,Maintenance Resource,Coin**,1,Mint**
Master,Rum Distillery,5,Rum,45,Output Resource,Rum,3,N/A
Mountains,Boiler Factory**,8,Steam Engine,N/A,Build Resource,Stone**,7,Quarry**
Mountains,Boiler Factory**,8,Steam Engine,N/A,Build Resource,Oak Plank**,6,Sawmill**
Mountains,Marquetry Workshop**,11,Cigars,N/A,Input Resource,Oak Plank**,1,Sawmill**
Master,Kerosene Factory,7,Kerosene Lamp,N/A,Input Resource,Oil,1,Oil Well
Mountains,Boiler Factory**,8,Steam Engine,N/A,Maintenance Resource,Steak**,1,Steakhouse**
Mountains,Boiler Factory**,8,Steam Engine,N/A,Maintenance Resource,Milk Can**,1,Milk Farm**
Mountains,Boiler Factory**,8,Steam Engine,N/A,Maintenance Resource,Coin**,1,Mint**
Islands,Rum Distillery*,6,Rum,45,Output Resource,Rum*,3,N/A
Mountains,Pig Farm**,9,Sausages,N/A,Build Resource,Stone**,7,Quarry**
Mountains,Pig Farm**,9,Sausages,N/A,Build Resource,Oak Plank**,6,Sawmill**
Islands,Port,0,Port,N/A,Input Resource,Oil*,1,Oil Well*
Master,Copper Mission,0,Port,N/A,Input Resource,Overalls,1,Fur Factory
Mountains,Pig Farm**,9,Sausages,N/A,Maintenance Resource,Steak**,1,Steakhouse**
Mountains,Pig Farm**,9,Sausages,N/A,Maintenance Resource,Milk Can**,1,Milk Farm**
Mountains,Pig Farm**,9,Sausages,N/A,Maintenance Resource,Coin**,1,Mint**
Master,Port,0,Port,0,Output Resource,Rum,1,N/A
Mountains,Butchery**,9,Sausages,N/A,Build Resource,Stone**,9,Quarry**
Mountains,Butchery**,9,Sausages,N/A,Build Resource,Oak Plank**,8,Sawmill**
Mountains,Butchery**,9,Sausages,N/A,Build Resource,Nails**,6,Fastener Factory**
Master,Butchery,2,Sausages,N/A,Input Resource,Pig,1,Pig Farm
Mountains,Butchery**,9,Sausages,N/A,Maintenance Resource,Steak**,2,Steakhouse**
Mountains,Butchery**,9,Sausages,N/A,Maintenance Resource,Milk Can**,2,Milk Farm**
Mountains,Butchery**,9,Sausages,N/A,Maintenance Resource,Coin**,2,Mint**
Master,Sailmakers,4,Sails,30,Output Resource,Sails,1,N/A
Islands,Salt Works*,7,Lemonade,30,Output Resource,Salt*,1,N/A
Mountains,Barrel Factory**,9,Schnapps,N/A,Build Resource,Stone**,9,Quarry**
Mountains,Barrel Factory**,9,Schnapps,N/A,Build Resource,Oak Plank**,8,Sawmill**
Mountains,Barrel Factory**,9,Schnapps,N/A,Build Resource,Nails**,6,Fastener Factory**
Mountains,Butchery**,9,Sausages,N/A,Input Resource,Pig**,1,Pig Farm**
Master,Rum Distillery,5,Rum,N/A,Input Resource,Plank,1,Sawmill
Mountains,Barrel Factory**,9,Schnapps,N/A,Maintenance Resource,Steak**,1,Steakhouse**
Mountains,Barrel Factory**,9,Schnapps,N/A,Maintenance Resource,Milk Can**,1,Milk Farm**
Mountains,Barrel Factory**,9,Schnapps,N/A,Maintenance Resource,Coin**,1,Mint**
Mountains,Salt Works**,10,Lemonade,30,Output Resource,Salt**,1,N/A
Mountains,Schnapps Distillery**,9,Schnapps,N/A,Build Resource,Stone**,18,Quarry**
Mountains,Schnapps Distillery**,9,Schnapps,N/A,Build Resource,Oak Plank**,16,Sawmill**
Mountains,Schnapps Distillery**,9,Schnapps,N/A,Build Resource,Nails**,14,Fastener Factory**
Master,Shipyard,5,Boat,N/A,Input Resource,Plank,8,Sawmill
Islands,Oil Island,0,Port,N/A,Input Resource,Poncho*,1,Poncho Darner*
Master,Moonshine Factory,2,Moonshine,N/A,Input Resource,Potato,1,Potato Farm
Mountains,Depot**,10,Train,N/A,Input Resource,Rails**,1,Rail Factory**
Mountains,Schnapps Distillery**,9,Schnapps,N/A,Maintenance Resource,Steak**,2,Steakhouse**
Mountains,Schnapps Distillery**,9,Schnapps,N/A,Maintenance Resource,Milk Can**,2,Milk Farm**
Mountains,Schnapps Distillery**,9,Schnapps,N/A,Maintenance Resource,Coin**,2,Mint**
Master,Sand Mine,3,Windows,30,Output Resource,Sand,1,N/A
Mountains,Sulfur Mine**,9,Sulfur,N/A,Build Resource,Stone**,7,Quarry**
Mountains,Sulfur Mine**,9,Sulfur,N/A,Build Resource,Oak Plank**,6,Sawmill**
Mountains,Cafeteria**,7,Fruit Punch,N/A,Input Resource,Raspberry**,1,Raspberry Plantation**
Mountains,Sulfur Mine**,9,Sulfur,N/A,Maintenance Resource,Steak**,1,Steakhouse**
Mountains,Sulfur Mine**,9,Sulfur,N/A,Maintenance Resource,Milk Can**,1,Milk Farm**
Mountains,Sulfur Mine**,9,Sulfur,N/A,Maintenance Resource,Coin**,1,Mint**
Islands,Sand Mine*,7,Windows,30,Output Resource,Sand*,1,N/A
Mountains,Ammo Factory**,9,Revolver,N/A,Build Resource,Stone**,9,Quarry**
Mountains,Ammo Factory**,9,Revolver,N/A,Build Resource,Oak Plank**,8,Sawmill**
Mountains,Ammo Factory**,9,Revolver,N/A,Build Resource,Nails**,6,Fastener Factory**
Mountains,Schnapps Distillery**,9,Schnapps,N/A,Input Resource,Raspberry**,1,Raspberry Plantation**
Master,Cannery,4,Canned Food,N/A,Input Resource,Red Pepper,1,Red Pepper Farm
Mountains,Ammo Factory**,9,Revolver,N/A,Maintenance Resource,Steak**,1,Steakhouse**
Mountains,Ammo Factory**,9,Revolver,N/A,Maintenance Resource,Milk Can**,1,Milk Farm**
Mountains,Ammo Factory**,9,Revolver,N/A,Maintenance Resource,Coin**,1,Mint**
Mountains,Sand Mine**,10,Windows,30,Output Resource,Sand**,1,N/A
Mountains,Revolver Factory**,9,Revolver,N/A,Build Resource,Stone**,18,Quarry**
Mountains,Revolver Factory**,9,Revolver,N/A,Build Resource,Oak Plank**,16,Sawmill**
Mountains,Revolver Factory**,9,Revolver,N/A,Build Resource,Nails**,14,Fastener Factory**
Master,Sailmakers,4,Sails,N/A,Input Resource,Rope,1,Rope Workshop
Master,Shipyard,5,Boat,N/A,Input Resource,Rope,2,Rope Workshop
Islands,Shipyard*,6,Boat,N/A,Input Resource,Rope*,4,Rope Workshop*
Mountains,Revolver Factory**,9,Revolver,N/A,Maintenance Resource,Steak**,2,Steakhouse**
Mountains,Revolver Factory**,9,Revolver,N/A,Maintenance Resource,Milk Can**,2,Milk Farm**
Mountains,Revolver Factory**,9,Revolver,N/A,Maintenance Resource,Coin**,2,Mint**
Master,Satin Fabric,7,Hat,30,Output Resource,Satin,1,N/A
Mountains,Chain Factory**,9,Steam Engine,N/A,Build Resource,Stone**,7,Quarry**
Mountains,Chain Factory**,9,Steam Engine,N/A,Build Resource,Oak Plank**,6,Sawmill**
Islands,Port,0,Port,N/A,Input Resource,Rum*,1,Rum Distillery*
Master,Limestone Mission,0,Port,N/A,Input Resource,Rum,1,Rum Distillery
Mountains,Chain Factory**,9,Steam Engine,N/A,Maintenance Resource,Sausages**,1,Butchery**
Mountains,Chain Factory**,9,Steam Engine,N/A,Maintenance Resource,Schnapps**,1,Schnapps Distillery**
Mountains,Chain Factory**,9,Steam Engine,N/A,Maintenance Resource,Revolver**,1,Revolver Factory**
Master,Butchery,2,Sausages,45,Output Resource,Sausages,3,N/A
Mountains,Gear Factory**,9,Steam Engine,N/A,Build Resource,Stone**,7,Quarry**
Mountains,Gear Factory**,9,Steam Engine,N/A,Build Resource,Oak Plank**,6,Sawmill**
Master,Copper Mission,0,Port,N/A,Input Resource,Rum,1,Rum Distillery
Mountains,Gear Factory**,9,Steam Engine,N/A,Maintenance Resource,Sausages**,1,Butchery**
Mountains,Gear Factory**,9,Steam Engine,N/A,Maintenance Resource,Schnapps**,1,Schnapps Distillery**
Mountains,Gear Factory**,9,Steam Engine,N/A,Maintenance Resource,Revolver**,1,Revolver Factory**
Mountains,Butchery**,9,Sausages,45,Output Resource,Sausages**,3,N/A
Mountains,Steam Engine Factory**,9,Steam Engine,N/A,Build Resource,Stone**,14,Quarry**
Mountains,Steam Engine Factory**,9,Steam Engine,N/A,Build Resource,Oak Plank**,12,Sawmill**
Mountains,Steam Engine Factory**,9,Steam Engine,N/A,Build Resource,Nails**,10,Fastener Factory**
Islands,Lemonade Factory*,7,Lemonade,N/A,Input Resource,Salt*,1,Salt Works*
Islands,Humitas Kitchen*,8,Humatis,N/A,Input Resource,Salt*,1,Salt Works*
Mountains,Dynamite Factory**,10,Train,N/A,Input Resource,Salt**,2,Salt Works**
Mountains,Steam Engine Factory**,9,Steam Engine,N/A,Maintenance Resource,Steak**,3,Steakhouse**
Mountains,Steam Engine Factory**,9,Steam Engine,N/A,Maintenance Resource,Milk Can**,3,Milk Farm**
Mountains,Steam Engine Factory**,9,Steam Engine,N/A,Maintenance Resource,Coin**,3,Mint**
Mountains,Schnapps Distillery**,9,Schnapps,45,Output Resource,Schnapps**,3,N/A
Mountains,Bean Farm**,10,Bean Pie,N/A,Build Resource,Stone**,9,Quarry**
Mountains,Bean Farm**,10,Bean Pie,N/A,Build Resource,Oak Plank**,8,Sawmill**
Mountains,Bean Farm**,10,Bean Pie,N/A,Build Resource,Nails**,6,Fastener Factory**
Master,Glassmakers,3,Windows,N/A,Input Resource,Sand,1,Sand Mine
Mountains,Bean Farm**,10,Bean Pie,N/A,Maintenance Resource,Sausages**,1,Butchery**
Mountains,Bean Farm**,10,Bean Pie,N/A,Maintenance Resource,Schnapps**,1,Schnapps Distillery**
Mountains,Bean Farm**,10,Bean Pie,N/A,Maintenance Resource,Revolver**,1,Revolver Factory**
Master,Sheave Manufactory,6,Steam Engine,30,Output Resource,Sheave,1,N/A
Mountains,Bakery***,10,Bread,N/A,Build Resource,Stone**,11,Quarry**
Mountains,Bakery***,10,Bread,N/A,Build Resource,Oak Plank**,10,Sawmill**
Mountains,Bakery***,10,Bread,N/A,Build Resource,Nails**,8,Fastener Factory**
Islands,Lime Plaster Factory*,7,Lime Plaster,N/A,Input Resource,Sand*,1,Sand Mine*
Mountains,Bakery***,10,Bread,N/A,Maintenance Resource,Sausages**,2,Butchery**
Mountains,Bakery***,10,Bread,N/A,Maintenance Resource,Schnapps**,2,Schnapps Distillery**
Mountains,Bakery***,10,Bread,N/A,Maintenance Resource,Revolver**,2,Revolver Factory**
Mountains,Sleeper Factory**,10,Train,30,Output Resource,Sleepers**,1,N/A
Mountains,Whiskey Distillery**,10,Whiskey,N/A,Build Resource,Stone**,11,Quarry**
Mountains,Whiskey Distillery**,10,Whiskey,N/A,Build Resource,Oak Plank**,10,Sawmill**
Mountains,Whiskey Distillery**,10,Whiskey,N/A,Build Resource,Nails**,8,Fastener Factory**
Mountains,Glassmakers**,10,Windows,N/A,Input Resource,Sand**,1,Sand Mine**
Master,Hat Fabric,7,Hat,N/A,Input Resource,Satin,1,Satin Fabric
Mountains,Whiskey Distillery**,10,Whiskey,N/A,Maintenance Resource,Sausages**,2,Butchery**
Mountains,Whiskey Distillery**,10,Whiskey,N/A,Maintenance Resource,Schnapps**,2,Schnapps Distillery**
Mountains,Whiskey Distillery**,10,Whiskey,N/A,Maintenance Resource,Revolver**,2,Revolver Factory**
Mountains,Soup Kitchen**,11,Soup,45,Output Resource,Soup**,2,N/A
Mountains,Sand Mine**,10,Windows,N/A,Build Resource,Stone**,9,Quarry**
Mountains,Sand Mine**,10,Windows,N/A,Build Resource,Oak Plank**,8,Sawmill**
Mountains,Sand Mine**,10,Windows,N/A,Build Resource,Nails**,6,Fastener Factory**
Master,World Exhibition,8,World Exhibition,N/A,Input Resource,Sausages,150,Butchery
Mountains,Sand Mine**,10,Windows,N/A,Maintenance Resource,Sausages**,1,Butchery**
Mountains,Sand Mine**,10,Windows,N/A,Maintenance Resource,Schnapps**,1,Schnapps Distillery**
Mountains,Sand Mine**,10,Windows,N/A,Maintenance Resource,Revolver**,1,Revolver Factory**
Master,Steakhouse,3,Steak & Leather,45,Output Resource,Steak,2,N/A
Mountains,Glassmakers**,10,Windows,N/A,Build Resource,Stone**,11,Quarry**
Mountains,Glassmakers**,10,Windows,N/A,Build Resource,Oak Plank**,10,Sawmill**
Mountains,Glassmakers**,10,Windows,N/A,Build Resource,Nails**,8,Fastener Factory**
Master,Copper Mission,0,Port,N/A,Input Resource,Sausages,1,Butchery
Mountains,Glassmakers**,10,Windows,N/A,Maintenance Resource,Sausages**,1,Butchery**
Mountains,Glassmakers**,10,Windows,N/A,Maintenance Resource,Schnapps**,1,Schnapps Distillery**
Mountains,Glassmakers**,10,Windows,N/A,Maintenance Resource,Revolver**,1,Revolver Factory**
Mountains,Steakhouse**,8,Steak & Leather,45,Output Resource,Steak**,2,N/A
Mountains,Watch Factory**,10,Watch,N/A,Build Resource,Stone**,22,Quarry**
Mountains,Watch Factory**,10,Watch,N/A,Build Resource,Oak Plank**,20,Sawmill**
Mountains,Watch Factory**,10,Watch,N/A,Build Resource,Nails**,18,Fastener Factory**
Master,Steam Engine Factory,6,Steam Engine,N/A,Input Resource,Sheave,1,Sheave Manufactory
Master,Chocolate Factory,7,Chocolate,N/A,Input Resource,Sheave,1,Sheave Manufactory
Mountains,Watch Factory**,10,Watch,N/A,Maintenance Resource,Sausages**,2,Butchery**
Mountains,Watch Factory**,10,Watch,N/A,Maintenance Resource,Schnapps**,2,Schnapps Distillery**
Mountains,Watch Factory**,10,Watch,N/A,Maintenance Resource,Revolver**,2,Revolver Factory**
Master,Steam Engine Factory,6,Steam Engine,45,Output Resource,Steam Engine,1,N/A
Mountains,Rail Factory**,10,Train,N/A,Build Resource,Stone**,11,Quarry**
Mountains,Rail Factory**,10,Train,N/A,Build Resource,Oak Plank**,10,Sawmill**
Mountains,Rail Factory**,10,Train,N/A,Build Resource,Nails**,8,Fastener Factory**
Mountains,Depot**,10,Train,N/A,Input Resource,Sleepers**,1,Sleeper Factory**
